city,state,state_full,county,county_fips
Adak,AK,Alaska,Aleutians West,02016
Akiachak,AK,Alaska,Bethel,02050
Akiak,AK,Alaska,Bethel,02050
Akutan,AK,Alaska,Aleutians East,02013
Alakanuk,AK,Alaska,Wade Hampton,02270
Aleknagik,AK,Alaska,Dillingham,02070
Allakaket,AK,Alaska,Yukon Koyukuk,02290
Ambler,AK,Alaska,Northwest Arctic,02188
Anaktuvuk Pass,AK,Alaska,North Slope,02185
Anchor Point,AK,Alaska,Kenai Peninsula,02122
Anchorage,AK,Alaska,Anchorage,02020
Anderson,AK,Alaska,Denali,02068
Angoon,AK,Alaska,Hoonah Angoon,02232
Aniak,AK,Alaska,Bethel,02050
Anvik,AK,Alaska,Yukon Koyukuk,02290
Arctic Village,AK,Alaska,Yukon Koyukuk,02290
Atka,AK,Alaska,Aleutians West,02016
Atqasuk,AK,Alaska,North Slope,02185
Auke Bay,AK,Alaska,Juneau,02110
Barrow,AK,Alaska,North Slope,02185
Beaver,AK,Alaska,Yukon Koyukuk,02290
Bethel,AK,Alaska,Bethel,02050
Bettles Field,AK,Alaska,Yukon Koyukuk,02290
Big Lake,AK,Alaska,Matanuska Susitna,02170
Brevig Mission,AK,Alaska,Nome,02180
Buckland,AK,Alaska,Northwest Arctic,02188
Cantwell,AK,Alaska,Denali,02068
Central,AK,Alaska,Yukon Koyukuk,02290
Chalkyitsik,AK,Alaska,Yukon Koyukuk,02290
Chefornak,AK,Alaska,Bethel,02050
Chevak,AK,Alaska,Wade Hampton,02270
Chicken,AK,Alaska,Southeast Fairbanks,02240
Chignik,AK,Alaska,Lake And Peninsula,02164
Chignik Lagoon,AK,Alaska,Lake And Peninsula,02164
Chignik Lake,AK,Alaska,Lake And Peninsula,02164
Chitina,AK,Alaska,Valdez Cordova,02261
Chugiak,AK,Alaska,Anchorage,02020
Circle,AK,Alaska,Yukon Koyukuk,02290
Clam Gulch,AK,Alaska,Kenai Peninsula,02122
Clarks Point,AK,Alaska,Dillingham,02070
Clear,AK,Alaska,Denali,02068
Coffman Cove,AK,Alaska,Prince Of Wales Hyder,02201
Cold Bay,AK,Alaska,Aleutians East,02013
Cooper Landing,AK,Alaska,Kenai Peninsula,02122
Copper Center,AK,Alaska,Valdez Cordova,02261
Cordova,AK,Alaska,Valdez Cordova,02261
Craig,AK,Alaska,Prince Of Wales Hyder,02201
Crooked Creek,AK,Alaska,Bethel,02050
Deering,AK,Alaska,Northwest Arctic,02188
Delta Junction,AK,Alaska,Southeast Fairbanks,02240
Denali National Park,AK,Alaska,Denali,02068
Dillingham,AK,Alaska,Dillingham,02070
Douglas,AK,Alaska,Juneau,02110
Dutch Harbor,AK,Alaska,Aleutians West,02016
Eagle,AK,Alaska,Southeast Fairbanks,02240
Eagle River,AK,Alaska,Anchorage,02020
Eek,AK,Alaska,Bethel,02050
Egegik,AK,Alaska,Lake And Peninsula,02164
Eielson AFB,AK,Alaska,Fairbanks North Star,02090
