county,county_fips
Aleutians West,02016
Bethel,02050
Bethel,02050
Aleutians East,02013
Wade Hampton,02270
Dillingham,02070
Yukon Koyukuk,02290
Northwest Arctic,02188
North Slope,02185
Kenai Peninsula,02122
Anchorage,02020
Denali,02068
Hoonah Angoon,02232
Bethel,02050
Yukon Koyukuk,02290
Yukon Koyukuk,02290
Aleutians West,02016
North Slope,02185
Juneau,02110
North Slope,02185
Yukon Koyukuk,02290
Bethel,02050
Yukon Koyukuk,02290
Matanuska Susitna,02170
Nome,02180
Northwest Arctic,02188
Denali,02068
Yukon Koyukuk,02290
Yukon Koyukuk,02290
Bethel,02050
Wade Hampton,02270
Southeast Fairbanks,02240
Lake And Peninsula,02164
Lake And Peninsula,02164
Lake And Peninsula,02164
Valdez Cordova,02261
Anchorage,02020
Yukon Koyukuk,02290
Kenai Peninsula,02122
Dillingham,02070
Denali,02068
Prince Of Wales Hyder,02201
Aleutians East,02013
Kenai Peninsula,02122
Valdez Cordova,02261
Valdez Cordova,02261
Prince Of Wales Hyder,02201
Bethel,02050
Northwest Arctic,02188
Southeast Fairbanks,02240
Denali,02068
Dillingham,02070
Juneau,02110
Aleutians West,02016
Southeast Fairbanks,02240
Anchorage,02020
Bethel,02050
Lake And Peninsula,02164
Fairbanks North Star,02090
Dillingham,02070
Hoonah Angoon,02232
Nome,02180
Wade Hampton,02270
Fairbanks North Star,02090
Fairbanks North Star,02090
Aleutians East,02013
Southeast Fairbanks,02240
Fairbanks North Star,02090
Yukon Koyukuk,02290
Valdez Cordova,02261
Yukon Koyukuk,02290
Nome,02180
Anchorage,02020
Valdez Cordova,02261
Bethel,02050
Yukon Koyukuk,02290
Hoonah Angoon,02232
Haines,02100
Denali,02068
Yukon Koyukuk,02290
Kenai Peninsula,02122
Hoonah Angoon,02232
Wade Hampton,02270
Kenai Peninsula,02122
Matanuska Susitna,02170
Yukon Koyukuk,02290
Yukon Koyukuk,02290
Prince Of Wales Hyder,02201
Prince Of Wales Hyder,02201
Lake And Peninsula,02164
Anchorage,02020
Anchorage,02020
Juneau,02110
DeSoto,12027
North Slope,02185
Bethel,02050
Yukon Koyukuk,02290
Kodiak Island,02150
Bethel,02050
Kenai Peninsula,02122
Kenai Peninsula,02122
Ketchikan Gateway,02130
Northwest Arctic,02188
Aleutians East,02013
Bristol Bay,02060
Bethel,02050
Northwest Arctic,02188
Prince Of Wales Hyder,02201
Northwest Arctic,02188
Kodiak Island,02150
Bethel,02050
Wade Hampton,02270
Northwest Arctic,02188
Nome,02180
Yukon Koyukuk,02290
Bethel,02050
Bethel,02050
Yukon Koyukuk,02290
Kodiak Island,02150
Lake And Peninsula,02164
Bethel,02050
Yukon Koyukuk,02290
Dillingham,02070
Wade Hampton,02270
Yukon Koyukuk,02290
Bethel,02050
Prince Of Wales Hyder,02201
Ketchikan Gateway,02130
Yukon Koyukuk,02290
Kenai Peninsula,02122
Wade Hampton,02270
Bristol Bay,02060
Bethel,02050
Yukon Koyukuk,02290
Dillingham,02070
Bethel,02050
Kenai Peninsula,02122
Yukon Koyukuk,02290
Aleutians West,02016
Kenai Peninsula,02122
Northwest Arctic,02188
Nome,02180
Lake And Peninsula,02164
Northwest Arctic,02188
Fairbanks North Star,02090
Southeast Fairbanks,02240
North Slope,02185
Yukon Koyukuk,02290
Wade Hampton,02270
Bethel,02050
Kodiak Island,02150
Kodiak Island,02150
Matanuska Susitna,02170
Lake And Peninsula,02164
Hoonah Angoon,02232
Lake And Peninsula,02164
DeSoto,12027
Lake And Peninsula,02164
Wade Hampton,02270
Bethel,02050
Prince Of Wales Hyder,02201
North Slope,02185
North Slope,02185
Sitka,02220
Lake And Peninsula,02164
Lake And Peninsula,02164
Kodiak Island,02150
North Slope,02185
Bethel,02050
Yukon Koyukuk,02290
Bethel,02050
Yukon Koyukuk,02290
Wade Hampton,02270
Aleutians West,02016
Wade Hampton,02270
Nome,02180
Aleutians West,02016
Fairbanks North Star,02090
Aleutians East,02013
Nome,02180
Wade Hampton,02270
Northwest Arctic,02188
Kenai Peninsula,02122
Kenai Peninsula,02122
Yukon Koyukuk,02290
Nome,02180
Nome,02180
Northwest Arctic,02188
Sitka,02220
DeSoto,12027
Matanuska Susitna,02170
Bethel,02050
Kenai Peninsula,02122
Bristol Bay,02060
Nome,02180
Kenai Peninsula,02122
Yukon Koyukuk,02290
Matanuska Susitna,02170
Yukon Koyukuk,02290
Matanuska Susitna,02170
Southeast Fairbanks,02240
Yukon Koyukuk,02290
Valdez Cordova,02261
Nome,02180
Hoonah Angoon,02232
Prince Of Wales Hyder,02201
Dillingham,02070
Southeast Fairbanks,02240
Bethel,02050
Matanuska Susitna,02170
Bethel,02050
Bethel,02050
Bethel,02050
Fairbanks North Star,02090
Kenai Peninsula,02122
Nome,02180
Aleutians West,02016
Valdez Cordova,02261
Yukon Koyukuk,02290
North Slope,02185
Nome,02180
Ketchikan Gateway,02130
